link,country,listed,address,bedrooms,bathrooms,car_spaces,agency,agent
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2667341070?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Thu, 18 Jun ","42 Holly Street, Avondale, Auckland City, Auckland",   3 Beds ,   1 Bath , 2 car spaces ," City Sales Ltd MREINZ, (Licensed: REAA 2008) ", James Mairs 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2594603543?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Fri, 3 Apr ","48/68 Fonteyn Street, Avondale, Auckland City, Auckland",   2 Beds ,   1 Bath ," $640,000 "," Glover Real Estate Ltd- Titirangi, (Licensed: REAA 2008) ", Titirangi Office 
https://www.trademe.co.nz/a/property/new-homes/new-house/auckland/auckland-city/avondale/listing/2699193663?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Mon, 13 Jul ","100A Ash Street, Avondale, Auckland City, Auckland",,, 2 Car Garage ," Barfoot & Thompson Mt Roskill, (Licensed: REAA 2008) ", Tracy Huang 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2731796733?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Fri, 12 Jun ","Avondale, Auckland City, Auckland",   3 Beds ,   1 Bath ," $135,000 ", Highway House Movers , Mick Daly 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2747816687?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Wed, 19 Aug ","49 Arran Street, Avondale, Auckland City, Auckland",   2 Beds ,   1 Bath , N/A ,,
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2639631451?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Wed, 4 Mar ","18 & 2/18 Pinewood Street, Avondale, Auckland City, Auckland",   3 Beds ,   1 Bath , 2 Car Garage ," Barfoot & Thompson Pt Chevalier, (Licensed: REAA 2008) ", Ian Yu 
https://www.trademe.co.nz/a/property/new-homes/new-house/auckland/auckland-city/avondale/listing/2613580304?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Tue, 5 May ","15/17 Powell Street, Avondale, Auckland City, Auckland",,, Open Spaces: 1 ," Wallace and Stratton Real Estate Group, (Licensed: REAA 2008) ", Stefan Powney 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2742524103?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Sat, 15 Aug ","61 & 63 Orchard Street, Avondale, Auckland City, Auckland",   6+ Beds ,   2 Baths , 4 car spaces ," Ray White Forrest Hill (Forrest Hill Realty Ltd), (Licensed: REAA 2008) ", Jason Wu 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2642904688?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Fri, 29 May ","50 Wolverton Street, Avondale, Auckland City, Auckland",   3 Beds ,   1 Bath , 1 Car Garage ," Barfoot & Thompson Royal Oak, (Licensed: REAA 2008) ", Jay Zhang 
https://www.trademe.co.nz/a/property/new-homes/new-house/auckland/auckland-city/avondale/listing/2718634410?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Tue, 28 Jul ","30B Mead Street, Avondale, Auckland City, Auckland",,," 2 car garaging, 2 off street "," Harcourts New Lynn Shelter Realty Ltd MREINZ, (Licensed: REAA 2008) ", Akhtar Adam 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2720173245?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Wed, 29 Jul ","Lot 3 9 Donegal Street, Avondale, Auckland City, Auckland",   3 Beds ,   2 Baths , 2 car spaces , LJ Hooker Manukau - Real Estate Brokers Limited. , Jeewan D 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2532051101?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Thu, 13 Feb ","2E/21 St Jude Street, Avondale, Auckland City, Auckland",   3 Beds ,   1 Bath , 1 car space ," City Sales Ltd MREINZ, (Licensed: REAA 2008) ", Maryanne Wong 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2632312835?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Wed, 20 May ","Lot 4 / 48 Tiverton Road, Avondale, Auckland City, Auckland",   5 Beds ,   3 Baths , 2 Car Garage ," Barfoot & Thompson Onehunga, (Licensed: REAA 2008) ", Ash Negi 
https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/avondale/listing/2582201139?rsqid=ee40e6ef386347c3a072d4aa60ae3be3-001,New Zealand," Listed: Thu, 19 Mar ","11 & 13 Ahiriri Avenue, Avondale, Auckland City, Auckland",   6+ Beds ,   2 Baths , 6 Car Off Street Parking ," Barfoot & Thompson Epsom, (Licensed: REAA 2008) ", Bella Stefano 
