title,price,main_info,location,description
100% loanable 3 bhk Mansarovar ext,"₹ 27,51,000",3 Bds - 2 Ba - 1350 ft2,Rajasthan,"Ready to shift 3 bhk at Mansarovar ext
Vande matram road
With 
Gated lane
CCTV cameras
Lift
Modular kitchen
False ceiling
Wardrobes
RO
Chimney
Separate water tank
Also avail subsidy upto Rs 2 .67 lacs"
3 bhk 1300 sqtt new build posh house at edapally varapuzha area,"₹ 38,00,000",3 Bds - 3 Ba - 1300 ft2,Kerala,"3 bhk 1300 sqft  new build posh house for sale at edapally varapuzha area 

3 bhk with bath attached 

Home loan facilitties available 

100 mtr away from bus stop

Neat area 

All facilities are very near

Price is negotiable

Call me for more details"
24front 60 depth,"₹ 67,00,000",3 Bds - 2 Ba - 1440 ft2,Uttaranchal,Newly constructed 3 bedroom house. Few meters from kargi chowk . Good ventilation and ample natural light thoroughly the house ..
Brand New Luxury Apartment .Fully Furnished with Home appliances...,"₹ 20,00,000",1 Bds - 1 Ba - 520 ft2,Kerala,Very calm and quite and Potable  water area. Gated Community with CCTV camera surveillance.Brand New Luxury Apartment .Fully Furnished with Home appliances.Near Guruvayoor and Chavakkad Town
3 bhk independent house for sale,"₹ 19,50,000",3 Bds - 2 Ba - 1200 ft2,Uttaranchal,"We are Shivam developer & we are dealing in all types of property in Haridwar.

Recently we have launched green valley a residential property in Suman nagar Haridwar&currently we have 3 bhk independent house for sale.

-- Property connected to sidcul highway. 
-- School , colleges , hospital are available near to property. 
-- Water park proposed to come.
-- Proposed suman nagar metro station. 
-- 24*7 transportation facility are available.

Note : - Price will be slightly negotiable."
2 bhk 900 sft 4 cent new build house at edapally varapuzha kongorpally,"₹ 2,65,00,000",2 Bds - 2 Ba - 900 ft2,Kerala,"2 bhk 900 sqft 4 cent new build house for sale at edapally varapuzha kongorpally area 

2 bhk with bath attached 

Home loan available up to 90% 

Upstair insert the house

All facilities are very near

Price is negotiable 

Call me for more details"
3 bhk 1200 sqft 4 cent house at aluva paravur road thattampady,"₹ 32,00,000",3 Bds - 3 Ba - 1200 ft2,Kerala,"3 bhk 1200 sqft 4 cent house for sale at aluva paravur road thattampady 

3 bhk with bath attached 

Loan facilities available

All facilities are very near

Price is negotiable


Call me for more details"
3 BHK 1714 SQFT GATED COMMUNITYY LAXUARY FLATT AT KAKKANAD INFOOARK,"₹ 62,00,000",3 Bds - 3 Ba - 1714 ft2,Kerala,"3 BHK new luxury flat in Infopark Kakkanad for Sale

Located adjacent to smart city and a stones throw away from Infopark and Metro station in Kakkanad.  The layout and amenities are meant for families that lay emphasis on quality lifestyles fitted with all modern facilities. 

Housed in a 20 floor independent luxury tower with its own landscaped gardens, swimming pool, health club, indoor work and play areas, abundant indoor games, car parking and three lifts access to each floor. 
Ready to stay. Direct price from owner.

Location : Kakkanad Cochin 
Type : Luxury  Apartment 
Area. : 1714 square feet
Floor no : 10
Size  : 3 acres
Bedrooms : 3
Bathrooms: 3
Balconies: 3
Status :  New launch, Ready to Move
Total floors : 20
Facing : East
Rate: 62, 00000/-

1.2 kms Info Park (Proposed Smart City)
3.5 kms Seaport-Airport Road 
22 kms Cochin International Airport
10 kms M. G. Road
6 kms Cochin By Pass Road
7 kms Palarivattom Junction
4 kms Bharatiya Vidya Bhavan
500 mtrs Mar Thoma Public School
3 kms Rajagiri Engineering College
6 kms Cochin University
7 kms Medical College Kalamassery
3.5 kms Model Engineering College
12 kms Amritha Medical College
3.5 kms Veegaland
12 kms from Aluva Railway Station
8 kms from Edappally
5 kms from Sunrise Hospital

Facilities :
24 hours CCTV surveillance system
24 hours security guard
Generator backup
Centralised gas supply
Centralised WiFi 
Centralised Cable TV
Landscaped garden
Swimming pool
Health club
Indoor work and play areas
Car parking 
Three lifts to access to each floor.

Call me for more details"
Ground floor with shop and garage at D. H. Rd Silpara on sale,"₹ 39,50,000",3 Bds - 2 Ba - 1500 ft2,West Bengal,"Only Ground floor of my house with area 2katha 33sq ft(land with structure) is on sale. Having 3rooms,2bathrooms,shop and garage.1 minute walking distance from D.H.Rd. Front road of the house is 20ft wide."
Flat 1 and 2 bhk for sale,"₹ 45,00,000",2 Bds - 2 Ba - 900 ft2,Maharashtra,Flat 1 and 2 bhk for sale price will be negotiable
"Villa for Sale at Andoorkonam,Thiruvananthapuram","₹ 30,00,000",3 Bds - 3 Ba - 900 ft2,Kerala,"3 cents land . 

Around 800 mtrs. from Andoorkonam and 1.5KM from venjaramoodu - Kazhakkoottam bypass"
2 Bhk independent flats in very reasonable price kharar mohali,"₹ 16,90,000",2 Bds - 2 Ba - 875 ft2,Punjab,"Here are some features about * MC approved. * Iconic design with excellent amenities. * Lush green environment. * Fully secured and walled complex. * Shopping area and broad roads. * Approaching through 3 linked roads from Kharar, Landran and Mohali. * It is developed on 33 acres (app.). * G+2 flooring. * Well secured campus with all basics amenities. * Society has its own water supply for 24 hrs. * Enough street lights. * Shopping area. * 35 ft. wide roads. * Freehold Land. * Plot Boundary Wall. * Society Boundary Wall."
"2BHK in one of the ﬁnest locations of Wakad at Pink City Road, Pune","₹ 60,00,000",2 Bds - 2 Ba - 860 ft2,Maharashtra,"IRA Wakad
Located in one of the ﬁnest locations of Wakad at Pink City Road, Pune.Mont Vert in associtation with Sanjay Kalate Group presents 2 BHK thoughtful apartments at IRA WAKAD.Ira, Wakad is smart city initiative.Hinjwadi-shivaji nagar Metro-Commute to the interior parts of the city in a matter of mintues.Upcoming Linear Garden.
As Infrastructural Growth - City's Second Phoenix Market City in Wakadia hardly 5 mintues from IRA

AMENITIES FOR ENRICHED EXPERIENCES
- Kid's Play Area
- Open-Air Gym On Top Terrace
- Community Hall,Landscape Garden
- Pergolas And Seating Area On Top Terrace
- Automatic Elevators
- Fire-Fighting
- PCMC Water Supply
- Wheelchair-Friendly Development
- Rainwater Harvesting
- Covered Parking
- Solar Water Heating System & Many More..

KEY LOCATION:
A location that thinks about you.More Than ever thought about it. Wakad - A location that has made itself the center of the city's the IT corridor and has very quickly become a significant landmark."
It is fully furnished two storied building is around 12 bedrooms and o,"₹ 65,00,000",4+ Bds - 4+ Ba - 1200 ft2,West Bengal,It is listed by owner very good position near arrah more
24front 60 depth,"₹ 67,00,000",3 Bds - 2 Ba - 1440 ft2,Uttaranchal,Newly constructed 3 bedroom house. Few meters from kargi chowk . Good ventilation and ample natural light thoroughly the house ..
"70 sq yds 2BHK flat at 37 lakh in dwarka mor , Delhi","₹ 37,00,000",2 Bds - 2 Ba - 750 ft2,Delhi,"Project name - 

-GURU JI HOMES 

DESCRIPTION:- 

-70 Sq Yds 2BHK flat at 37 lakh in Dwarka Mor  , Delhi. 


1. There are 2 Bedroom with 1 balcony .
2. Drawing hall with all false ceiling and texture paints.
3. 2 Bathroom with tiles work up to roof height. 
4. Wardrobe in each bedroom.
5. Modern and Modular kitchen with chimney and attachment.
6.Wallpaper + texture paints.
7. Wall to wall P.O.P and tiles work on elevation.
8.Modular switch switch with branded electrical fittings.
9.Branded hardware and Sainitary fittings.
10. Lift facility.
11. 1 car parking.
12. Loan facility.
13. Intercom and automatic locking facility.
* Bank loan up to 90%
*PMAY Subsidy up to 2.5 lakh
*Just 10 minutes from Dwarka mor 


**Construction done in the supervision on of the team of attachment.**"
